"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 11:13:47 UTC 2025","Fri Jun 27 11:13:47 UTC 2025","504","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 11:13:39 UTC 2025","Fri Jun 27 11:13:39 UTC 2025","317","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 11:13:42 UTC 2025","Fri Jun 27 11:13:42 UTC 2025","221","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 11:13:47 UTC 2025","Fri Jun 27 11:13:48 UTC 2025","503","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 11:13:41 UTC 2025","Fri Jun 27 11:13:42 UTC 2025","290","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 11:13:40 UTC 2025","Fri Jun 27 11:13:40 UTC 2025","269","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 11:13:45 UTC 2025","Fri Jun 27 11:13:46 UTC 2025","504","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 11:13:44 UTC 2025","Fri Jun 27 11:13:44 UTC 2025","502","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 11:13:44 UTC 2025","Fri Jun 27 11:13:45 UTC 2025","502","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 11:13:40 UTC 2025","Fri Jun 27 11:13:40 UTC 2025","265","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 11:13:45 UTC 2025","Fri Jun 27 11:13:45 UTC 2025","502","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 11:13:39 UTC 2025","Fri Jun 27 11:13:40 UTC 2025","247","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 11:13:40 UTC 2025","Fri Jun 27 11:13:40 UTC 2025","227","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 11:13:46 UTC 2025","Fri Jun 27 11:13:47 UTC 2025","504","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 11:13:46 UTC 2025","Fri Jun 27 11:13:46 UTC 2025","504","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 11:13:42 UTC 2025","Fri Jun 27 11:13:42 UTC 2025","214","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 11:13:40 UTC 2025","Fri Jun 27 11:13:41 UTC 2025","990","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 11:13:42 UTC 2025","Fri Jun 27 11:13:44 UTC 2025","1504","","","","","","WS-TC1 - Successful subscription returns order book",""
