"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 10:17:37 UTC 2025","Fri Jun 27 10:17:37 UTC 2025","242","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 10:17:34 UTC 2025","Fri Jun 27 10:17:35 UTC 2025","300","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 10:17:36 UTC 2025","Fri Jun 27 10:17:37 UTC 2025","239","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 10:17:37 UTC 2025","Fri Jun 27 10:17:37 UTC 2025","260","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 10:17:42 UTC 2025","Fri Jun 27 10:17:42 UTC 2025","503","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 10:17:42 UTC 2025","Fri Jun 27 10:17:43 UTC 2025","1004","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 10:17:40 UTC 2025","Fri Jun 27 10:17:40 UTC 2025","502","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 10:17:35 UTC 2025","Fri Jun 27 10:17:35 UTC 2025","231","","","","","","TC3 - Validate candlestick fields and structure",""
"passed","Fri Jun 27 10:17:35 UTC 2025","Fri Jun 27 10:17:35 UTC 2025","258","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 10:17:43 UTC 2025","Fri Jun 27 10:17:44 UTC 2025","504","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 10:17:35 UTC 2025","Fri Jun 27 10:17:35 UTC 2025","275","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 10:17:41 UTC 2025","Fri Jun 27 10:17:41 UTC 2025","504","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 10:17:39 UTC 2025","Fri Jun 27 10:17:40 UTC 2025","502","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 10:17:41 UTC 2025","Fri Jun 27 10:17:42 UTC 2025","503","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 10:17:35 UTC 2025","Fri Jun 27 10:17:36 UTC 2025","1050","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 10:17:37 UTC 2025","Fri Jun 27 10:17:39 UTC 2025","2004","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 10:17:37 UTC 2025","Fri Jun 27 10:17:37 UTC 2025","237","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 10:17:40 UTC 2025","Fri Jun 27 10:17:41 UTC 2025","503","","","","","","WS-TC4 - Subscribe with maximum depth",""
